Sorter,Size,Order,AvgTimeMs
std::sort,100,0,0.44526
std::stable_sort,100,0,0.64944
quick3way,100,0,0.9219
merge_lcp,100,0,1.099
msd_radix,100,0,0.41206
msd_radix_quick,100,0,0.88452
std::sort,100,1,0.281
std::stable_sort,100,1,0.7634
quick3way,100,1,1.36656
merge_lcp,100,1,1.2156
msd_radix,100,1,0.55128
msd_radix_quick,100,1,1.67396
std::sort,100,2,0.17906
std::stable_sort,100,2,0.28434
quick3way,100,2,0.8017
merge_lcp,100,2,0.89288
msd_radix,100,2,0.39454
msd_radix_quick,100,2,0.90472
std::sort,500,0,1.91598
std::stable_sort,500,0,2.8706
quick3way,500,0,4.01084
merge_lcp,500,0,5.89872
msd_radix,500,0,2.846
msd_radix_quick,500,0,5.74382
std::sort,500,1,1.01712
std::stable_sort,500,1,2.89864
quick3way,500,1,5.70436
merge_lcp,500,1,5.65526
msd_radix,500,1,2.27424
msd_radix_quick,500,1,5.41452
std::sort,500,2,1.29808
std::stable_sort,500,2,1.8761
quick3way,500,2,4.38674
merge_lcp,500,2,5.40848
msd_radix,500,2,1.72914
msd_radix_quick,500,2,4.18166
std::sort,1000,0,4.17088
std::stable_sort,1000,0,6.11302
quick3way,1000,0,8.61586
merge_lcp,1000,0,14.6514
msd_radix,1000,0,4.16546
msd_radix_quick,1000,0,7.99342
std::sort,1000,1,2.3044
std::stable_sort,1000,1,5.91316
quick3way,1000,1,11.137
merge_lcp,1000,1,11.9702
msd_radix,1000,1,4.15402
msd_radix_quick,1000,1,10.7876
std::sort,1000,2,2.2462
std::stable_sort,1000,2,3.54618
quick3way,1000,2,9.23352
merge_lcp,1000,2,11.7434
msd_radix,1000,2,3.73366
msd_radix_quick,1000,2,8.312
std::sort,2000,0,10.9314
std::stable_sort,2000,0,21.0563
quick3way,2000,0,18.3179
merge_lcp,2000,0,28.7155
msd_radix,2000,0,6.94924
msd_radix_quick,2000,0,17.6009
std::sort,2000,1,5.46834
std::stable_sort,2000,1,13.8974
quick3way,2000,1,32.7594
merge_lcp,2000,1,26.1656
msd_radix,2000,1,7.60836
msd_radix_quick,2000,1,23.0681
std::sort,2000,2,4.8576
std::stable_sort,2000,2,9.11934
quick3way,2000,2,28.4961
merge_lcp,2000,2,27.3095
msd_radix,2000,2,6.898
msd_radix_quick,2000,2,17.5922
std::sort,3000,0,17.017
std::stable_sort,3000,0,22.6141
quick3way,3000,0,29.3225
merge_lcp,3000,0,49.8432
msd_radix,3000,0,17.304
msd_radix_quick,3000,0,27.9329
std::sort,3000,1,8.91643
std::stable_sort,3000,1,19.7266
quick3way,3000,1,51.9218
merge_lcp,3000,1,42.6086
msd_radix,3000,1,10.5907
msd_radix_quick,3000,1,38.201
std::sort,3000,2,9.96611
std::stable_sort,3000,2,14.2517
quick3way,3000,2,45.0424
merge_lcp,3000,2,44.3165
msd_radix,3000,2,10.9526
msd_radix_quick,3000,2,30.314
